province,city,county,circle
北京市,北京市,东城区,王府井
北京市,北京市,东城区,灯市口
北京市,北京市,东城区,沙子口
北京市,北京市,东城区,崇文门
北京市,北京市,东城区,东直门
北京市,北京市,东城区,交道口
北京市,北京市,东城区,东四
北京市,北京市,东城区,沙滩
北京市,北京市,东城区,北京站
北京市,北京市,东城区,海运仓
北京市,北京市,东城区,东单
北京市,北京市,东城区,天安门
北京市,北京市,东城区,朝阳门
北京市,北京市,东城区,景山
北京市,北京市,东城区,雍和宫
北京市,北京市,东城区,北新桥
北京市,北京市,东城区,前门
北京市,北京市,东城区,安定门
北京市,北京市,东城区,天坛
北京市,北京市,东城区,广渠门
北京市,北京市,东城区,和平里
北京市,北京市,西城区,小西天
北京市,北京市,西城区,官园
北京市,北京市,西城区,新街口
北京市,北京市,西城区,德胜门
北京市,北京市,西城区,广内大街
北京市,北京市,西城区,西四
北京市,北京市,西城区,展览路
北京市,北京市,西城区,菜市口
北京市,北京市,西城区,复兴门
北京市,北京市,西城区,百万庄
北京市,北京市,西城区,金融街
北京市,北京市,西城区,南礼士路
北京市,北京市,西城区,地安门
北京市,北京市,西城区,三里河
北京市,北京市,西城区,宣武门
北京市,北京市,西城区,广外大街
北京市,北京市,西城区,德外大街
北京市,北京市,西城区,动物园
北京市,北京市,西城区,阜成门
北京市,北京市,西城区,西直门
北京市,北京市,西城区,六铺炕
北京市,北京市,西城区,虎坊桥
北京市,北京市,西城区,西便门
北京市,北京市,西城区,车公庄
北京市,北京市,西城区,西单
北京市,北京市,西城区,什刹海
北京市,北京市,西城区,牛街
北京市,北京市,西城区,积水潭
北京市,北京市,西城区,木樨地
北京市,北京市,西城区,月坛
北京市,北京市,崇文区,体育馆路
北京市,北京市,崇文区,法华寺
北京市,北京市,崇文区,光明楼
北京市,北京市,崇文区,龙潭湖
北京市,北京市,崇文区,永定门
北京市,北京市,宣武区,大观园
北京市,北京市,宣武区,红莲
北京市,北京市,宣武区,南菜园
北京市,北京市,宣武区,天桥
北京市,北京市,宣武区,广安门
北京市,北京市,宣武区,陶然亭
北京市,北京市,宣武区,马连道
北京市,北京市,宣武区,长椿街
北京市,北京市,宣武区,白纸坊
北京市,北京市,宣武区,和平门
北京市,北京市,朝阳区,亮马桥
北京市,北京市,朝阳区,西坝河
北京市,北京市,朝阳区,常营
